States,Colonies,Max Colonies,Lost Colonies,Added Colonies,Renovated Colonies
Alabama,29500,31000,4000,4710,4810
Arizona,101000,103500,21600,20210,5760
Arkansas,95500,98000,17800,16250,3780
California,3550000,4640000,568000,526000,575000
Colorado,93500,113000,16400,15770,9900
Connecticut,13200,13200,610,640,870
Florida,932000,1040000,168000,212000,166000
Georgia,547000,578000,79500,97500,137000
Hawaii,66000,66000,4720,4930,17100
Idaho,404000,522000,57500,41000,53510
Illinois,43500,44000,6760,7300,4300
Indiana,35500,38000,7090,4860,3160
Iowa,163000,169000,14200,17600,5980
Kansas,19100,19100,3200,4590,2700
Kentucky,24500,25500,4950,2620,1670
Louisiana,201000,205000,9500,10730,6820
Maine,28600,49400,5800,720,1870
Maryland,29500,32500,3020,3440,2160
Massachusetts,20100,26600,4110,2110,1690
Michigan,218500,272000,28500,33900,36200
Minnesota,313000,391000,52900,54100,34990
Mississippi,100000,123500,10300,32440,13200
Missouri,35000,35000,3210,3930,1410
Montana,328000,491000,29640,24040,44500
Nebraska,114000,159000,14030,19500,6740
New Jersey,40400,51000,2620,1760,660
New Mexico,23400,26800,8150,5730,1450
New York,154000,177000,14700,16000,7770
North Carolina,68500,70000,11600,9350,3360
North Dakota,1025000,1486000,114200,56100,80010
Ohio,54500,58500,9400,10770,5230
Oklahoma,36800,92600,8270,11470,6770
Oregon,327000,414000,34200,47500,88900
Pennsylvania,71000,76500,9260,10370,6070
South Carolina,47000,52500,6000,5940,8690
South Dakota,341000,535000,60390,22750,72020
Tennessee,35000,35500,7400,4910,3140
Texas,738000,989000,94500,221500,122570
Utah,79000,100000,10320,11140,5950
Vermont,24500,25500,1590,3830,240
Virginia,26500,27500,4310,4220,3150
Washington,250000,377000,35100,35000,24870
West Virginia,26200,30500,4790,2850,1880
Wisconsin,156000,202000,29600,18800,12930
Wyoming,77000,103000,9120,7590,6100
